title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Acid Jazz Singer,The Fratellis,spotify:track:4QuludAPOazh169yzhhtkL,0.531,0.833,9,-3.322,1,0.0341,0.00354,0.0,0.11,0.458,121.006,audio_features,4QuludAPOazh169yzhhtkL,https://api.spotify.com/v1/tracks/4QuludAPOazh169yzhhtkL,https://api.spotify.com/v1/audio-analysis/4QuludAPOazh169yzhhtkL,261547,4
Lupe Brown,The Fratellis,spotify:track:7pOCdyPGJES8B9a8fes6Z0,0.459,0.952,8,-3.597,0,0.0437,0.0132,0.0,0.119,0.567,118.823,audio_features,7pOCdyPGJES8B9a8fes6Z0,https://api.spotify.com/v1/tracks/7pOCdyPGJES8B9a8fes6Z0,https://api.spotify.com/v1/audio-analysis/7pOCdyPGJES8B9a8fes6Z0,326920,4
The Gutterati?,The Fratellis,spotify:track:5jXZxgYUr9cB9RcmIDHIgy,0.289,0.978,2,-2.433,1,0.169,0.00801,1.17e-06,0.36,0.43,125.1,audio_features,5jXZxgYUr9cB9RcmIDHIgy,https://api.spotify.com/v1/tracks/5jXZxgYUr9cB9RcmIDHIgy,https://api.spotify.com/v1/audio-analysis/5jXZxgYUr9cB9RcmIDHIgy,148800,4
For The Girl,The Fratellis,spotify:track:3Z0ukCjFccmd8sTFaSeavj,0.472,0.906,6,-3.453,1,0.0584,0.000181,0.0,0.387,0.737,122.641,audio_features,3Z0ukCjFccmd8sTFaSeavj,https://api.spotify.com/v1/tracks/3Z0ukCjFccmd8sTFaSeavj,https://api.spotify.com/v1/audio-analysis/3Z0ukCjFccmd8sTFaSeavj,167133,4
Vince The Loveable Stoner,The Fratellis,spotify:track:7HxSyRpQ4dP5OV9FVypDAh,0.383,0.908,7,-4.198,1,0.0507,0.00431,0.0,0.124,0.621,167.629,audio_features,7HxSyRpQ4dP5OV9FVypDAh,https://api.spotify.com/v1/tracks/7HxSyRpQ4dP5OV9FVypDAh,https://api.spotify.com/v1/audio-analysis/7HxSyRpQ4dP5OV9FVypDAh,192667,4
Everybody Knows You Cried Last Night,The Fratellis,spotify:track:5VMFKym267icrEAu4cdHyy,0.632,0.901,7,-3.383,1,0.0406,0.00347,0.0,0.0774,0.718,102.89,audio_features,5VMFKym267icrEAu4cdHyy,https://api.spotify.com/v1/tracks/5VMFKym267icrEAu4cdHyy,https://api.spotify.com/v1/audio-analysis/5VMFKym267icrEAu4cdHyy,234427,4
Baby Fratelli,The Fratellis,spotify:track:1C607LF3GjH7n2Eh8rqgRe,0.461,0.876,7,-3.405,1,0.0906,0.0175,0.0,0.102,0.546,124.26,audio_features,1C607LF3GjH7n2Eh8rqgRe,https://api.spotify.com/v1/tracks/1C607LF3GjH7n2Eh8rqgRe,https://api.spotify.com/v1/audio-analysis/1C607LF3GjH7n2Eh8rqgRe,237107,4
The Look,Roxette,spotify:track:0ZfM5XfJTtFPhOxAERRnNY,0.634,0.838,2,-5.363,1,0.0413,0.0531,8.34e-06,0.0522,0.541,95.011,audio_features,0ZfM5XfJTtFPhOxAERRnNY,https://api.spotify.com/v1/tracks/0ZfM5XfJTtFPhOxAERRnNY,https://api.spotify.com/v1/audio-analysis/0ZfM5XfJTtFPhOxAERRnNY,237320,4
Listen To Your Heart,Roxette,spotify:track:78TnMTAFmWUWWCgNXR7D3K,0.539,0.583,1,-4.935,0,0.0275,0.108,0.0,0.111,0.337,86.063,audio_features,78TnMTAFmWUWWCgNXR7D3K,https://api.spotify.com/v1/tracks/78TnMTAFmWUWWCgNXR7D3K,https://api.spotify.com/v1/audio-analysis/78TnMTAFmWUWWCgNXR7D3K,328093,4
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,spotify:track:6qB7YcFpeBEQa0D6QO482y,0.52,0.652,5,-6.655,1,0.0274,0.34,5.49e-05,0.256,0.722,80.609,audio_features,6qB7YcFpeBEQa0D6QO482y,https://api.spotify.com/v1/tracks/6qB7YcFpeBEQa0D6QO482y,https://api.spotify.com/v1/audio-analysis/6qB7YcFpeBEQa0D6QO482y,258787,4
Spending My Time,Roxette,spotify:track:47PQWnMc01EmIH0PD2UuGb,0.42,0.574,4,-5.149,1,0.0292,0.238,0.000115,0.127,0.218,170.549,audio_features,47PQWnMc01EmIH0PD2UuGb,https://api.spotify.com/v1/tracks/47PQWnMc01EmIH0PD2UuGb,https://api.spotify.com/v1/audio-analysis/47PQWnMc01EmIH0PD2UuGb,275667,4
The Sign,Ace of Base,spotify:track:0hrBpAOgrt8RXigk83LLNE,0.808,0.786,4,-6.897,0,0.0447,0.00928,0.0701,0.0574,0.899,96.987,audio_features,0hrBpAOgrt8RXigk83LLNE,https://api.spotify.com/v1/tracks/0hrBpAOgrt8RXigk83LLNE,https://api.spotify.com/v1/audio-analysis/0hrBpAOgrt8RXigk83LLNE,191240,4
All That She Wants,Ace of Base,spotify:track:6kWJvPfC4DgUpRsXKNa9z9,0.798,0.625,11,-9.689,1,0.0548,0.00547,7.98e-05,0.103,0.858,93.764,audio_features,6kWJvPfC4DgUpRsXKNa9z9,https://api.spotify.com/v1/tracks/6kWJvPfC4DgUpRsXKNa9z9,https://api.spotify.com/v1/audio-analysis/6kWJvPfC4DgUpRsXKNa9z9,211213,4
